pygame 2.1.2 (SDL 2.0.18, Python 3.9.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
finished 0 iterations in 0.000
finished 10 iterations in 17.898
ran 20 simulations in 22.817 seconds
         103756618 function calls (103753061 primitive calls) in 40.876 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
       60    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(append)
       61    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
       60    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel)
        1    0.000    0.000    0.006    0.006 <__array_function__ internals>:2(save)
    192/3    0.001    0.000    0.155    0.052 <frozen importlib._bootstrap>:1002(_find_and_load)
   183/20    0.000    0.000    0.114    0.006 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      593    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      192    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
      593    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      401    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
    286/3    0.000    0.000    0.153    0.051 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     1771    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      287    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:385(cached)
      380    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      180    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
  180/173    0.000    0.000    0.046    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    180/3    0.001    0.000    0.154    0.051 <frozen importlib._bootstrap>:659(_load_unlocked)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
      593    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
      730    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      730    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      189    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap>:901(_find_spec)
    192/3    0.000    0.000    0.155    0.052 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
      120    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      120    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
     1557    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
    47/45    0.000    0.000    0.042    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
    47/42    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      720    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
      393    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      690    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1359(_legacy_get_spec)
      176    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      176    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      211    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      345    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
      197    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1585(<setcomp>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
      240    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      167    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      120    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      360    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
    120/3    0.000    0.000    0.154    0.051 <frozen importlib._bootstrap_external>:844(exec_module)
     1557    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      120    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        7    0.000    0.000    0.000    0.000 <frozen zipimport>:109(find_loader)
       14    0.000    0.000    0.000    0.000 <frozen zipimport>:308(_get_module_path)
        7    0.000    0.000    0.000    0.000 <frozen zipimport>:312(_is_dir)
        7    0.000    0.000    0.000    0.000 <frozen zipimport>:321(_get_module_info)
       14    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
      580    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
       13    0.000    0.000    0.245    0.019 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
